latitude,longitude,gravity,height,disturbance,terrain_effect,topo_free_disturbance
23.5,-22.5,975775.825,10000.0,1.6348261995008215,-65.69345565893202,67.32828185843285
23.5,-22.333333333333343,975776.725,10000.0,2.5348261995241046,-106.12434453924674,108.65917073877084
23.5,-22.166666666666686,975777.325,10000.0,3.1348261995008215,-116.73276476969016,119.86759096919099
23.5,-22.0,975777.025,10000.0,2.8348261995706707,-119.9508720547059,122.78569825427657
23.5,-21.833333333333343,975775.725,10000.0,1.5348261995241046,-121.21660711681473,122.75143331633883
23.5,-21.666666666666686,975775.125,10000.0,0.9348261995473877,-121.50254556122374,122.43737176077113
23.5,-21.5,975775.425,10000.0,1.2348261995939538,-121.11323840384414,122.34806460343809
23.5,-21.333333333333343,975774.425,10000.0,0.2348261995939538,-120.14794432670692,120.38277052630087
23.5,-21.166666666666686,975771.625,10000.0,-2.5651738004526123,-118.82380793997959,116.25863413952698
23.5,-21.0,975769.925,10000.0,-4.265173800406046,-117.3485735166834,113.08339971627736
23.5,-20.833333333333343,975770.925,10000.0,-3.265173800406046,-115.30909954355509,112.04392574314905
23.5,-20.666666666666686,975771.825,10000.0,-2.3651738004991785,-113.4906712597367,111.12549745923752
23.5,-20.5,975771.025,10000.0,-3.1651738004293293,-112.03627541408142,108.87110161365209
23.5,-20.333333333333343,975771.225,10000.0,-2.9651738004758954,-110.59506816938514,107.62989436890925
23.5,-20.166666666666686,975774.625,10000.0,0.43482619954738766,-108.76953947066997,109.20436567021736
23.5,-20.0,975778.825,10000.0,4.6348261995008215,-106.78371316187837,111.41853936137919
23.5,-19.833333333333343,975780.525,10000.0,6.334826199570671,-104.5045626829901,110.83938888256077
23.5,-19.666666666666686,975780.525,10000.0,6.334826199570671,-102.29067778693562,108.62550398650629
23.5,-19.5,975780.625,10000.0,6.434826199547388,-99.98714240181764,106.42196860136502
23.5,-19.333333333333343,975780.925,10000.0,6.734826199593954,-97.14249302477184,103.87731922436579
23.5,-19.166666666666686,975780.725,10000.0,6.534826199524105,-94.25670606893961,100.79153226846371
23.5,-19.0,975780.325,10000.0,6.1348261995008215,-91.44773170494973,97.58255790445055
23.5,-18.833333333333343,975779.425,10000.0,5.234826199593954,-88.23750811834552,93.47233431793947
23.5,-18.666666666666686,975777.725,10000.0,3.5348261995241046,-84.84875615764369,88.3835823571678
23.5,-18.5,975776.325,10000.0,2.1348261995008215,-81.7712409249116,83.90606712441242
23.5,-18.333333333333343,975776.025,10000.0,1.8348261995706707,-78.75672688089952,80.59155308047019
23.5,-18.166666666666686,975775.925,10000.0,1.7348261995939538,-75.43229898560976,77.16712518520372
23.5,-18.0,975775.425,10000.0,1.2348261995939538,-70.91987472919074,72.15470092878469
23.5,-17.833333333333343,975776.125,10000.0,1.9348261995473877,-65.16293151606907,67.09775771561645
23.5,-17.666666666666686,975780.725,10000.0,6.534826199524105,-57.456961929596126,63.99178812912023
23.5,-17.5,975788.425,10000.0,14.234826199593954,-47.408750814357866,61.64357701395182
23.5,-17.333333333333343,975797.025,10000.0,22.83482619957067,-37.048784204566886,59.883610404137556
23.5,-17.166666666666686,975806.525,10000.0,32.33482619957067,-27.224493671334866,59.55931987090554
23.5,-17.0,975817.025,10000.0,42.83482619957067,-18.513562598357534,61.34838879792821
23.5,-16.833333333333343,975825.225,10000.0,51.034826199524105,-11.370529533497379,62.40535573302148
23.5,-16.666666666666686,975825.425,10000.0,51.234826199593954,-8.13280014769869,59.36762634729264
23.5,-16.5,975817.225,10000.0,43.034826199524105,-6.341891303642806,49.37671750316691
23.5,-16.333333333333343,975806.025,10000.0,31.83482619957067,-5.205206019207538,37.04003221877821
23.5,-16.166666666666686,975797.325,10000.0,23.13482619950082,-4.257888598843652,27.392714798344475
23.5,-16.0,975793.425,10000.0,19.234826199593954,-3.007986530981535,22.242812730575487
23.5,-15.833333333333343,975794.525,10000.0,20.33482619957067,-0.899509149493481,21.234335349064153
23.5,-15.666666666666686,975800.825,10000.0,26.63482619950082,1.0024237609407558,25.632402438560067
23.5,-15.5,975810.925,10000.0,36.734826199593954,3.1405484982319503,33.594277701362
23.5,-15.333333333333343,975822.825,10000.0,48.63482619950082,5.107486884433804,43.52733931506702
23.5,-15.166666666666686,975836.125,10000.0,61.93482619954739,7.194812056128618,54.74001414341877
23.5,-15.0,975849.125,10000.0,74.93482619954739,9.168067638881944,65.76675856066544
23.5,-14.833333333333343,975856.925,10000.0,82.73482619959395,11.47066876916624,71.26415743042772
23.5,-14.666666666666686,975854.325,10000.0,80.13482619950082,12.323670595406307,67.81115560409451
23.5,-14.5,975842.525,10000.0,68.33482619957067,10.966808169319687,57.36801803025098
23.5,-14.333333333333343,975829.725,10000.0,55.534826199524105,11.381582038154187,44.15324416136992
23.5,-14.166666666666686,975822.825,10000.0,48.63482619950082,12.845037420276828,35.789788779224
23.5,-14.0,975821.725,10000.0,47.534826199524105,14.118358571852765,33.41646762767134
23.5,-13.833333333333343,975822.725,10000.0,48.534826199524105,15.12174534116174,33.41308085836236
23.5,-13.666666666666686,975824.725,10000.0,50.534826199524105,16.102910316154635,34.43191588336947
23.5,-13.5,975828.025,10000.0,53.83482619957067,16.108543609533047,37.72628259003763
23.5,-13.333333333333343,975829.925,10000.0,55.734826199593954,15.016068415462879,40.71875778413107
23.5,-13.166666666666686,975826.225,10000.0,52.034826199524105,13.781561121136015,38.25326507838809
23.5,-13.0,975817.225,10000.0,43.034826199524105,12.95438886829997,30.080437331224132
23.5,-12.833333333333343,975809.225,10000.0,35.034826199524105,12.86626843817762,22.168557761346484
23.5,-12.666666666666686,975805.825,10000.0,31.63482619950082,12.042104925315101,19.59272127418572
23.5,-12.5,975805.425,10000.0,31.234826199593954,12.761599044053122,18.473227155540833
23.5,-12.333333333333343,975804.525,10000.0,30.33482619957067,13.40561794033815,16.92920825923252
23.5,-12.166666666666686,975802.725,10000.0,28.534826199524105,13.54440825867026,14.990417940853845
23.5,-12.0,975800.625,10000.0,26.434826199547388,13.311972893446836,13.122853306100552
23.5,-11.833333333333343,975797.525,10000.0,23.33482619957067,13.065980858415063,10.268845341155608
23.5,-11.666666666666686,975793.825,10000.0,19.63482619950082,12.601997448723289,7.032828750777533
23.5,-11.5,975792.725,10000.0,18.534826199524105,12.012216616218556,6.522609583305549
23.5,-11.333333333333343,975795.425,10000.0,21.234826199593954,11.341467001328981,9.893359198264973
23.5,-11.166666666666686,975799.825,10000.0,25.63482619950082,10.900871167325118,14.733955032175704
23.5,-11.0,975803.325,10000.0,29.13482619950082,10.860493063831958,18.27433313566886
