,Unnamed: 0,Station ID,E(m),N(m),longitude,latitude,height_geoid,obsG,BO(mGal),Error(mGal),height_ell,gamma,G_disturbance,terrain_effect,topo_free_disturbance
12,12,TENE013,327963.64,3127046.3,-16.7538,28.2581,1464.0,979114.542,245.798,0.01,1511.5691957670288,978724.5515781661,389.9904218339361,126.9945370537826,262.9958847801535
13,13,TENE014,327136.27,3126971.87,-16.7622,28.2574,1366.9,979132.928,243.574,0.008,1414.367219291504,978754.4826474256,378.4453525743447,118.4261503074648,260.0192022668799
14,14,TENE015,327156.73,3128038.89,-16.7621,28.267,1417.2,979124.363,244.456,0.008,1464.6813502954103,978739.6852314344,384.67776856559794,123.33387706522508,261.3438915003729
15,15,TENE016,327281.41,3128986.9,-16.761,28.2756,1485.6,979105.58,239.653,0.009,1533.0748742596434,978719.2362334488,386.34376655111555,129.6203582293391,256.72340832177645
16,16,TENE017,329319.29,3126188.85,-16.7398,28.2506,1603.0,979085.788,248.038,0.018,1650.7264194264526,978681.063454912,404.72454508789815,138.96979465580318,265.75475043209497
17,17,TENE018,330066.02,3126181.46,-16.7322,28.2506,1698.3,979066.422,248.968,0.011,1746.110830265564,978651.6435810317,414.77841896831524,147.68825772070946,267.0901612476058
18,18,TENE019,331333.18,3124950.92,-16.7191,28.2397,1769.1,979057.05,256.538,0.005,1817.004837105499,978628.9575344968,428.0924655032577,153.11173113476138,274.9807343684963
19,19,TENE020,332363.69,3126060.13,-16.7088,28.2498,2016.5,979001.071,252.7,0.006,2064.5208162282715,978553.3841637786,447.6868362213718,175.46205658264935,272.22477963872245
20,20,TENE021,326469.57,3128154.21,-16.7691,28.2679,1354.8,979136.457,243.244,0.001,1402.1972277942352,978759.0277046774,377.42929532262497,117.66544066745612,259.76385465516887
21,21,TENE022,326398.05,3127021.44,-16.7697,28.2577,1283.0,979149.801,242.495,0.01,1330.3746597598267,978780.415441042,369.3855589579325,110.7750438866579,258.6105150712746
22,22,TENE023,325328.55,3128100.02,-16.7808,28.2673,1210.1,979164.937,241.086,0.004,1257.3511001798706,978803.6658259904,361.27117400965653,104.472581167801,256.79859284185557
23,23,TENE024,324936.96,3130156.22,-16.7851,28.2858,1258.2,979158.122,242.821,0.015,1305.3662140116578,978790.2473148865,367.8746851134347,109.22062907630956,258.6540560371251
24,24,TENE025,325709.12,3131092.46,-16.7773,28.2944,1303.7,979146.466,240.236,0.016,1350.9144718892824,978776.8444009981,369.62159900192637,113.1794057294022,256.44219327252415
25,25,TENE026,326785.87,3130729.77,-16.7663,28.2912,1418.4,979121.103,239.134,0.022,1465.756434612854,978741.1771350622,379.92586493783165,124.12790695868728,255.79795797914437
26,26,TENE027,327207.18,3131836.38,-16.7622,28.3013,1405.4,979121.432,235.889,0.015,1452.7301901234132,978745.9566940733,375.4753059267532,122.89027670840277,252.58502921835043
27,27,TENE028,324982.03,3128755.72,-16.7844,28.2732,1205.7,979166.466,241.068,0.015,1252.897940427002,978805.4841026291,360.9818973708898,104.01775247696588,256.9641448939239
28,28,TENE029,326585.46,3128899.53,-16.7681,28.2747,1388.8,979128.194,241.684,0.005,1436.1978935722198,978749.0516457488,379.1423542512348,120.75002007904315,258.3923341721916
29,29,TENE030,326282.78,3130005.64,-16.7713,28.2846,1397.8,979125.603,240.161,0.004,1445.137221164612,978747.0401120611,378.562887938926,121.74021704715403,256.82267089177196
30,30,TENE031,327885.66,3129854.8,-16.755,28.2835,1561.3,979088.063,237.996,0.004,1608.8179291000365,978696.4683484008,391.5946515991818,136.2934186684877,255.3012329306941
31,31,TENE032,328254.23,3130780.44,-16.7514,28.2919,1513.1,979100.091,238.705,0.004,1560.5996110667113,978711.9744352348,388.1165647652233,132.0706969421268,256.0458678230965
32,32,TENE033,325032.16,3130424.14,-16.7841,28.2882,1268.3,979155.539,242.078,0.042,1315.4672487922974,978787.3121148312,368.22688516881317,110.275412430803,257.9514727380102
33,33,TENE034,324838.07,3131629.55,-16.7863,28.2991,1226.2,979165.752,242.298,0.042,1273.2903069941408,978801.1450215039,364.60697849607095,106.57117819888742,258.0358002971835
34,34,TENE035,324348.48,3132021.4,-16.7914,28.3026,1186.5,979175.943,243.875,0.042,1233.5085143432009,978813.6815295465,362.2614704534644,102.92000414008594,259.3414663133785
35,35,TENE036,324637.61,3133064.5,-16.7886,28.312,1173.3,979177.796,242.533,0.042,1220.268633414917,978818.4748337189,359.3211662811227,101.27460610670656,258.0465601744162
36,36,TENE037,325345.93,3132940.98,-16.7813,28.311,1220.2,979165.125,240.165,0.042,1267.253742762451,978803.9045012835,361.2204987164587,105.49137753748312,255.72912117897556
37,37,TENE038,325381.6,3131900.83,-16.7808,28.3016,1313.2,979144.895,240.51,0.042,1360.334441133545,978774.4812602325,370.41373976750765,113.791425507408,256.62231426009964
38,38,TENE039,326110.52,3131572.02,-16.7733,28.2987,1349.7,979136.749,239.771,0.042,1396.9355382207948,978762.9718934296,373.77710657031275,117.74650170409308,256.0306048662197
39,39,TENE040,328537.99,3126317.59,-16.7478,28.2517,1496.4,979108.088,247.2,0.003,1544.0359656404726,978714.0549045152,394.0330954848323,129.6574530327052,264.37564245212707
