,Unnamed: 0,Island,Station ID,latitude,longitude,height_geoid,height_ell,Precision,obsG,gamma,G_disturbance,terrain_effect,topo_free_disturbance
0,0,Tenerife,930003,28.470277777777778,-16.247222222222224,10.149,54.2687,,979398.9,979190.2449819063,208.65501809376292,-9.592300823239407,218.24731891700233
1,1,Tenerife,931001,28.475555555555555,-16.24888888888889,28.5925,72.7279,,979394.79,979184.9465928636,209.84340713638812,-7.769314588198608,217.61272172458672
2,2,Tenerife,931002,28.471944444444443,-16.255277777777778,52.7189,96.9381,,979388.87,979177.2003931155,211.6696068844758,-5.358290787405102,217.0278976718809
3,3,Tenerife,931003,28.46972222222222,-16.259722222222223,62.3199,106.5977,,979386.13,979174.0506401611,212.07935983885545,-4.153012222837637,216.2323720616931
4,4,Tenerife,931004,28.46444444444444,-16.26222222222222,72.8529,117.1675,,979381.98,979170.3887537803,211.59124621970113,-2.596510636761272,214.1877568564624
5,5,Tenerife,931005,28.459166666666665,-16.26388888888889,75.2698,119.6078,,979379.1,979169.2361989727,209.8638010272989,-2.511417245886819,212.37521827318574
6,6,Tenerife,932001,28.45888888888889,-16.25611111111111,49.0165,93.2523,,979383.38,979177.3501911388,206.0298088612035,-7.384034330813701,213.4138431920172
7,7,Tenerife,932002,28.459444444444443,-16.253333333333334,18.9541,63.1535,,979389.69,979186.6827778217,203.0072221782757,-8.690860466599874,211.69808264487557
8,8,Tenerife,932003,28.461111111111112,-16.249166666666667,4.3687,48.5142,,979392.01,979191.3276153989,200.6823846010957,-10.341917160228505,211.02430176132418
9,9,Tenerife,932004,28.46611111111111,-16.247222222222224,4.7428,48.8657,0.05,979394.77,979191.5974381856,203.17256181442644,-9.973206894099205,213.14576870852565
10,10,Tenerife,932005,28.47083333333333,-16.246944444444445,8.7556,52.8712,,979396.41,979190.7183935809,205.69160641916096,-9.815394514506655,215.50700093366763
11,11,Tenerife,932006,28.47305555555556,-16.247222222222224,8.8779,52.9948,,979399.06,979190.8484165949,208.21158340515103,-9.773375073551133,217.98495847870217
12,12,Tenerife,932007,28.47861111111111,-16.24361111111111,8.9121,52.9789,,979398.07,979191.2737990456,206.7962009543553,-9.56042088941524,216.35662184377054
13,13,Tenerife,932009,28.476388888888888,-16.24638888888889,11.1178,55.221,0.05,979398.892,979190.4135292997,208.4784707003273,-9.54504605647061,218.0235167567979
14,14,Tenerife,932010,28.4775,-16.244722222222222,8.8193,52.9007,0.05,979399.314,979191.2138380359,208.10016196407378,-9.59806599379956,217.69822795787334
15,15,Tenerife,932011,28.476388888888888,-16.246111111111112,11.1248,55.2245,0.05,979398.892,979190.4124489462,208.4795510538388,-9.468224386044945,217.94777543988374
16,16,Tenerife,932015,28.4775,-16.246111111111112,8.8263,52.925,0.05,979399.314,979191.2063372985,208.10766270151362,-9.871799411950173,217.9794621134638
17,17,Tenerife,932016,28.47777777777777,-16.246111111111112,10.1562,54.2546,,979398.9,979190.8169514874,208.08304851257708,-9.735536928957064,217.81858544153414
18,18,Tenerife,932017,28.47694444444444,-16.246111111111112,3.7725,47.8717,0.05,979399.074,979192.7241034921,206.34989650791977,-10.679755510235672,217.02965201815545
19,19,Tenerife,932018,28.5725,-16.24638888888889,4.1682,47.5992,,979399.382,979200.0484378672,199.33356213278603,-16.319086582261935,215.65264871504797
20,20,Tenerife,933001,28.45611111111111,-16.266944444444444,84.3081,128.6881,,979376.31,979166.2022894963,210.10771050374024,-1.9279771069027545,212.03568761064298
