Station;Date;Base;Recording_Time_min;Mean_nb_satellite;Latitude;Longitude;Elevation (m);Diff_Elevation_m;Abs_Diff_Elevation_m;Distance_km;Lat_Std_Dev_cm;Lat_Std_Err_cm;Lat_med_diff_cm;Lon_Std_Dev_cm;Lon_Std_Err_cm;Lon_med_diff_cm;Height_Std_Dev_cm;Height_Std_Err_cm;Height_med_diff_cm;Q
GUI25;2024/06/03;IZAN;15,07;8,4;28,29420659;-16,44759952;1446,5934;-970,811;970,811;5,3;1,12;0,0371;0,1306;0,86;0,0287;0,1929;5,4;0,1795;2,6773;2
GUI26;2024/06/03;IZAN;15,02;9;28,29289154;-16,43225012;1119,6539;-1297,7505;1297,7505;6,8;0,05;0,0016;0,002;0,03;0,0008;0,0036;0,57;0,0189;0,1564;1
GUI30;2024/10/07;IZAN;14,98;7,8;28,31415774;-16,4956996;2228,2115;-189,1929;189,1929;0,8;1,82;0,0605;0,7347;3,94;0,1313;1,3672;10,5;0,35;3,1113;2
GUI31;2024/10/07;IZAN;15;7,1;28,31632788;-16,47238923;1719,4983;-697,9061;697,9061;2,9;0,73;0,0244;0,0169;0,49;0,0164;0,2433;8,32;0,2771;2,9198;1
GUI32;2024/10/07;IZAN;15,02;6,7;28,31240911;-16,48017681;1837,4177;-579,9867;579,9867;2,1;0,44;0,0148;0,0844;0,29;0,0098;0,0496;15,81;0,5265;3,7986;1
GUI33;2024/10/07;IZAN;14,98;7,4;28,31464118;-16,48716295;1996,1881;-421,2163;421,2163;1,5;0,09;0,0031;0,026;0,35;0,0116;0,1965;2,31;0,0771;0,8103;1
GUI34;2024/10/07;IZAN;15;8,8;28,32369081;-16,48473048;2093,4428;-323,9616;323,9616;2,3;0,44;0,0146;0,0625;1,07;0,0355;0,1197;3,68;0,1225;1,0407;2
IPNA_out;2024/04/03;TN01;42,27;5,8;28,4795576;-16,32038175;607,7105;555,9574;555,9574;7,8;1,99;0,0394;0,633;1,29;0,0256;0,0343;6,53;0,1297;0,4939;2
LM001;2024/04/02;IZAN;43,13;7;28,29209641;-16,53970616;2334,4456;-82,9588;82,9588;4,3;0,09;0,0018;0,0086;0,1;0,0019;0,0273;0,35;0,0069;0,0665;1
LM002;2024/04/02;IZAN;31,98;6,6;28,28821323;-16,53995801;2349,5782;-67,8262;67,8262;4,5;0,42;0,0096;0,132;0,52;0,0119;0,1673;1,16;0,0266;0,0818;2
LM003;2024/04/02;IZAN;40,98;8,7;28,28938782;-16,54212119;2336,9749;-80,4295;80,4295;4,6;0,11;0,0022;0,0261;0,12;0,0025;0,0639;1,05;0,0212;0,3978;1
LM005;2024/04/02;IZAN;44,47;8,4;28,28943726;-16,54642737;2334,4915;-82,9129;82,9129;5;0,8;0,0154;0,2976;0,35;0,0068;0,2297;3,89;0,0753;1,4738;1
LM006;2024/04/02;IZAN;15,02;8;28,28712044;-16,53803066;2360,8992;-56,5052;56,5052;4,4;0,06;0,0021;0,028;0,05;0,0016;0,0237;0,74;0,0247;0,2698;1
LM007_G1;2024/07/08;IZAN;20,82;6,5;28,29254627;-16,54547421;2329,6835;-87,7209;87,7209;4,8;0,76;0,0215;0,1018;0,84;0,0238;0,0555;1,96;0,0553;0,2139;2
LM008_G3;2024/07/08;IZAN;26,03;6;28,29257337;-16,54496238;2329,1694;-88,235;88,235;4,8;0,64;0,0163;0,157;0,4;0,0102;0,1714;1,7;0,0429;0,3854;2
LM009_G5;2024/07/08;IZAN;25,82;6,8;28,2926566;-16,54444768;2329,4437;-87,9607;87,9607;4,7;1,02;0,0259;0,0706;2,62;0,0666;0,0652;4,79;0,1217;0,0046;1
LM010_G7;2024/07/08;IZAN;40,97;8;28,29273856;-16,54395066;2329,6925;-87,7119;87,7119;4,7;0,18;0,0037;0,0727;0,05;0,001;0,0271;0,73;0,0148;0,1687;1
LM011_G9;2024/07/08;IZAN;46,73;9,1;28,29282532;-16,54345617;2330,1468;-87,2576;87,2576;4,6;0,43;0,0082;0,0572;0,62;0,0117;0,3665;2,91;0,0549;0,5847;1
LM012_G11;2024/07/08;IZAN;73,52;8,8;28,29299981;-16,54295761;2331,2056;-86,1988;86,1988;4,6;0,15;0,0022;0,0429;0,08;0,0011;0,0157;0,85;0,0128;0,1155;1
LM013_G13;2024/07/09;IZAN;50;6,4;28,29307302;-16,54244497;2332,0551;-85,3493;85,3493;4,5;1,22;0,0223;0,547;0,79;0,0144;0,2341;4,46;0,0815;0,0424;1
LM014_G15;2024/07/09;IZAN;49,98;6,9;28,29316032;-16,54194801;2332,2189;-85,1855;85,1855;4,5;0,08;0,0015;0,0181;0,17;0,0031;0,0527;1,13;0,0207;0,1561;1
LM015_G17;2024/07/09;IZAN;52,87;8,2;28,29327066;-16,54145801;2332,8884;-84,516;84,516;4,4;0,12;0,0022;0,0097;0,12;0,0021;0,0327;1,18;0,021;0,3371;1
LM016_G19;2024/07/09;IZAN;50;9,5;28,29339071;-16,54096717;2332,7707;-84,6337;84,6337;4,4;0,11;0,002;0,0411;0,03;0,0006;0,0051;0,77;0,0141;0,1386;1
LM017_G21;2024/07/09;IZAN;77,17;8;28,29351036;-16,54047798;2333,2784;-84,126;84,126;4,3;0,14;0,0021;0,0013;0,09;0,0013;0,0051;0,87;0,0128;0,0914;1
MI00;2024/05/10;TN02;15;7;28,47066342;-16,37862302;808,2123;753,7978;753,7978;17,9;1,29;0,043;0,1058;3,5;0,1166;0,6813;9,91;0,3302;1,5302;2
MI01;2024/05/10;TN02;14,98;6,4;28,4583392;-16,39391355;954,8621;900,4476;900,4476;16;0,71;0,0238;0,0196;3,21;0,1072;0,0743;7,14;0,2381;1,0177;2
MI02;2024/05/10;TN02;15;6;28,46050423;-16,4196125;812,3271;757,9126;757,9126;13,7;1,18;0,0393;0,1953;1,57;0,0523;0,4779;5,76;0,192;0,4012;2
MI03;2024/05/10;TN02;15;7,4;28,44794533;-16,4197583;949,1081;894,6936;894,6936;13,3;1,29;0,0429;0,5879;4,33;0,1441;0,726;5,74;0,1913;0,9495;2
MI04;2024/05/10;TN02;15,08;8,2;28,43965024;-16,43083415;953,9324;899,5179;899,5179;12;1,31;0,0436;0,2082;2,75;0,0914;0,0713;6,49;0,2155;2,7864;2
MI05;2024/05/10;TN02;14,98;7,9;28,45049732;-16,44162601;650,231;595,8165;595,8165;11,3;3,12;0,1039;0,1723;1,52;0,0507;0,6889;8,16;0,2721;0,1712;2
MI06;2024/05/10;TN02;15;8,9;28,43874897;-16,45138098;630,052;575,6375;575,6375;10;0,12;0,0041;0,0215;0,05;0,0018;0,0054;1,01;0,0335;0,0045;1
MI07;2024/05/10;TN02;15;7,5;28,4232184;-16,45561179;735,6161;681,2016;681,2016;9,4;0,15;0,005;0,0077;0,11;0,0036;0,0074;1,36;0,0453;0,0583;1
MI09;2024/05/10;TN02;68,3;6,4;28,41547763;-16,47643061;655,6547;601,2402;601,2402;7,3;0,95;0,0148;0,7798;3,45;0,0538;0,3863;6,95;0,1086;3,0527;1
ORO00;2025/04/04;TN02;16,55;6,5;28,41082329;-16,54524137;132,3808;77,9663;77,9663;1;0,28;0,0089;0,0395;0,1;0,0032;0,0076;2,99;0,0948;0,089;1
ORO01;2025/04/04;TN02;15,23;6,5;28,41536812;-16,51660529;157,5572;103,1427;103,1427;3,4;0,98;0,0324;0,2803;2,48;0,0819;5,0809;19,87;0,6567;0,3348;2
ORO02;2025/04/04;TN02;15,77;6,7;28,40462226;-16,51408114;275,4016;220,9871;220,9871;3,9;1,2;0,0389;1,1337;5,08;0,1651;13,7328;6,06;0,1968;4,0208;2
ORO03;2025/04/04;TN02;15,37;7;28,40294173;-16,50103401;626,6807;572,2662;572,2662;5,2;1,36;0,0446;0,0278;1,21;0,0399;0,088;6,55;0,2156;0,3363;1
ORO04;2025/04/04;TN02;16,07;5,3;28,37892976;-16,49969958;798,3055;743,891;743,891;6,7;0,97;0,0312;0,1382;1,03;0,0332;0,0352;14,41;0,4637;4,0846;2
ORO05;2025/04/04;TN02;17,03;5,3;28,38133508;-16,53259123;463,0432;408,6287;408,6287;4,5;0,54;0,0169;0,0024;1,57;0,0491;4,2595;6,73;0,2104;0,5289;2
ORO06;2025/04/04;TN02;15,1;4;28,38841739;-16,54054454;335,4242;281,0097;281,0097;3,5;0,79;0,0263;0,0165;1,09;0,0362;0,1018;25,54;0,8479;7,0412;1
ORO07;2025/04/04;TN02;15,5;6,3;28,40602037;-16,53143233;214,1562;159,7417;159,7417;2,3;0,46;0,0151;0,1113;0,39;0,0129;0,0256;1,22;0,04;0,329;1
ORO08;2025/04/04;TN02;15,02;7;28,41525923;-16,5286559;127,1123;72,6978;72,6978;2,2;0,3;0,0101;0,0524;0,73;0,0241;0,1467;1,98;0,0659;0,4847;1
