,Unnamed: 0,latitude,longitude,Easting,Northing,Elevation,Gravity,Param_5,Param_6,Relative_Error,Flag,Gravity_mGal,topo_free_disturbance,height_ell,Station ID
79,79,28.28376391,-16.55759443,347246,3129621,2087.11,33099,20,5747,2.2,0,33.099,47.93941416804799,2135.199,GRA_79
80,80,28.28826546,-16.56013753,347003,3130123,2094.19,33324,20,5800,2.2,0,33.324,48.16344630935687,2142.276,GRA_80
81,81,28.29263233,-16.56103731,346921,3130608,2092.75,30523,20,5982,2.2,0,30.523,45.358733390883046,2140.824,GRA_81
82,82,28.29656258,-16.56065621,346964,3131043,2097.5,28935,20,6423,2.2,0,28.935,43.76560788658991,2145.558,GRA_82
83,83,28.29968408,-16.56154811,346881,3131390,2077.8,29186,20,6417,2.2,0,29.186,44.01414120904632,2125.85,GRA_83
84,84,28.19832151,-16.67315844,335780,3120305,2201.54,46225,20,8599,2.2,0,46.225,61.013911429600576,2249.463,GRA_84
85,85,28.19546297,-16.67075061,336012,3119985,2189.69,46746,20,8648,2.2,0,46.746,61.52744666881208,2237.588,GRA_85
86,86,28.19578843,-16.66626335,336453,3120015,2156.32,45075,20,8394,2.2,0,45.075,59.86315032320719,2204.24,GRA_86
87,87,28.19132622,-16.6673248,336342,3119522,2123.2,46593,20,8029,2.2,0,46.593,61.36356793146391,2171.063,GRA_87
88,88,28.19035124,-16.66215547,336848,3119407,2089.87,47503,20,7529,2.2,0,47.503,62.272832692503584,2137.731,GRA_88
89,89,28.18754761,-16.66115462,336942,3119095,2067.43,46741,20,7804,2.2,0,46.741,61.50072731268469,2115.258,GRA_89
90,90,28.1888354,-16.65691676,337360,3119232,2033.77,45524,20,7670,2.2,0,45.524,60.29040338816727,2081.62,GRA_90
91,91,28.2497162,-16.61937259,341136,3125928,2259.74,30452,20,7138,2.2,0,30.452,45.36060707521119,2308.05,GRA_91
92,92,28.24602419,-16.61333433,341723,3125511,2246.54,32553,20,6418,2.2,0,32.553,47.453079948510776,2294.823,GRA_92
93,93,28.23782666,-16.60667863,342364,3124594,2198.03,34383,20,5873,2.2,0,34.383,49.26508985795684,2246.255,GRA_93
94,94,28.2343661,-16.60624973,342401,3124210,2210.13,35883,20,5930,2.2,0,35.883,50.75974909535406,2258.337,GRA_94
95,95,28.22738697,-16.61032305,341991,3123442,2212.09,38166,20,6303,2.2,0,38.166,53.03218473739696,2260.263,GRA_95
96,96,28.23311543,-16.60130903,342884,3124065,2192.76,36906,20,5951,2.2,0,36.906,51.775280969507605,2240.943,GRA_96
97,97,28.25863914,-16.59350555,343687,3126883,2282.87,30407,20,6604,2.2,0,30.407,45.29664323672157,2331.119,GRA_97
98,98,28.2572387,-16.58898972,344128,3126722,2229.78,31576,20,6125,2.2,0,31.576,46.46036998358291,2278.012,GRA_98
99,99,28.29676543,-16.56579825,346460,3131072,2126.83,30404,20,6246,2.2,0,30.404,45.241406296960605,2174.91,GRA_99
100,100,28.30346138,-16.56742588,346310,3131816,2060.18,25724,20,6379,2.2,0,25.724,40.5499331421364,2108.223,GRA_100
101,101,28.30787279,-16.5660119,346455,3132303,2020.84,24529,20,6660,2.2,0,24.529,39.34225969838024,2068.841,GRA_101
102,102,28.31251359,-16.56898634,346170,3132821,1947.29,23088,20,6717,2.2,0,23.088,37.89103691960131,1995.258,GRA_102
103,103,28.31444181,-16.57630639,345455,3133044,1898.05,22692,20,6545,2.2,0,22.692,37.4930118416797,1946.012,GRA_103
104,104,28.31954253,-16.57616746,345476,3133609,1837.3,20700,20,6943,2.2,0,20.7,35.483459462047314,1885.205,GRA_104
105,105,28.32248973,-16.57885248,345217,3133939,1793.97,19520,20,7377,2.2,0,19.52,34.29257011443204,1841.84,GRA_105
106,106,28.32566055,-16.58403978,344713,3134297,1749.67,19125,20,8508,2.2,0,19.125,33.88553185970912,1797.501,GRA_106
107,107,28.33344364,-16.58761303,344374,3135164,1638.44,14994,20,9216,2.2,0,14.994,29.721351439425757,1686.163,GRA_107
108,108,28.33926987,-16.5902702,344122,3135813,1578.92,11430,20,9544,2.2,0,11.43,26.127414412818894,1626.546,GRA_108
109,109,28.34443414,-16.59241795,343919,3136388,1592.27,8120,20,10522,2.2,0,8.12,22.790431713899327,1639.809,GRA_109
110,110,28.31399192,-16.59173978,343941,3133014,2084.93,20505,20,7946,2.2,0,20.505,35.30923706790042,2132.902,GRA_110
111,111,28.31791344,-16.58978908,344138,3133446,2068.32,18561,20,8443,2.2,0,18.561,33.35200644522162,2116.249,GRA_111
112,112,28.32168877,-16.58643883,344472,3133860,2041.37,17992,20,10130,2.2,0,17.992,32.76816410933159,2089.251,GRA_112
113,113,28.32448983,-16.58770432,344352,3134172,1996.81,16468,20,10077,2.2,0,16.468,31.23231291316411,2044.653,GRA_113
114,114,28.32930048,-16.58922417,344210,3134707,1895.69,14647,20,9990,2.2,0,14.647,29.39098819916997,1943.467,GRA_114
115,115,28.21573527,-16.63545691,339507,3122184,2012.1,43200,20,5679,2.2,0,43.2,58.05672326324584,2060.242,GRA_115
116,116,28.21940642,-16.63562494,339496,3122591,2013.86,42100,20,5680,2.2,0,42.1,56.96502418334202,2062.029,GRA_116
117,117,28.21817241,-16.63919262,339144,3122459,2009.9,42558,20,5563,2.2,0,42.558,57.42114324946558,2058.063,GRA_117
118,118,28.31147073,-16.59742326,343380,3132742,2037.36,23281,20,6985,2.2,0,23.281,38.09278075976251,2085.357,GRA_118
119,119,28.31118056,-16.58903627,344202,3132699,2057.73,25701,20,8309,2.2,0,25.701,40.51426214499871,2105.731,GRA_119
120,120,28.30718174,-16.58288891,344799,3132248,2072.19,25898,20,6652,2.2,0,25.898,40.72321162713264,2120.23,GRA_120
121,121,28.30527707,-16.57902651,345175,3132032,2050.28,27568,20,6346,2.2,0,27.568,42.39642768450888,2098.331,GRA_121
122,122,28.30184463,-16.57537627,345528,3131647,2076.52,28920,20,6252,2.2,0,28.92,43.75571404951553,2124.594,GRA_122
123,123,28.24747916,-16.55476341,347472,3125597,2288.54,26207,20,8793,2.2,0,26.207,41.01573941854373,2336.527,GRA_123
124,124,28.25385428,-16.55128853,347822,3126299,2280.9,24883,20,8796,2.2,0,24.883,39.69452805641406,2328.896,GRA_124
125,125,28.25972032,-16.54892713,348062,3126946,2307.59,24664,20,8785,2.2,0,24.664,39.47719312834501,2355.591,GRA_125
126,126,28.26773425,-16.54497569,348461,3127829,2272.99,25287,20,7714,2.2,0,25.287,40.09943584432014,2320.989,GRA_126
127,127,28.27743886,-16.54314814,348654,3128902,2291.9,26197,20,7559,2.2,0,26.197,41.00801654951573,2339.894,GRA_127
128,128,28.28714849,-16.53767031,349205,3129971,2312.05,26195,20,7860,2.2,0,26.195,40.99334741450154,2360.003,GRA_128
129,129,28.29863836,-16.5351843,349465,3131241,2268.48,24313,20,7993,2.2,0,24.313,39.09917904194836,2316.394,GRA_129
130,130,28.30675,-16.53615737,349381,3132141,2214.61,22426,20,8569,2.2,0,22.426,37.20024665198433,2262.485,GRA_130
131,131,28.27029155,-16.61721675,341378,3128205,2723.71,20439,20,13019,2.2,0,20.439,35.342744834589084,2772.005,GRA_131
132,132,28.275876,-16.61204077,341894,3128817,2568.01,21459,20,11264,2.2,0,21.459,36.35390600021081,2616.276,GRA_132
133,133,28.26520193,-16.59723207,343331,3127615,2458.63,27142,20,8542,2.2,0,27.142,42.038057645136846,2506.9,GRA_133
134,134,28.2818267,-16.74610068,328753,3129659,1651.16,22941,20,5254,2.2,0,22.941,37.63417922147614,1698.772,GRA_134
135,135,28.29102196,-16.74263135,329108,3130673,1609.74,20432,20,5210,2.2,0,20.432,35.1170131254875,1657.326,GRA_135
136,136,28.29609479,-16.74043009,329332,3131232,1591.96,21081,20,4910,2.2,0,21.081,35.7607475387089,1639.529,GRA_136
137,137,28.30298751,-16.73207903,330162,3131984,1536.41,20519,20,4922,2.2,0,20.519,35.20114781336774,1583.987,GRA_137
138,138,28.30783933,-16.72450976,330912,3132511,1548.5,18915,20,5370,2.2,0,18.915,33.59706870611934,1596.076,GRA_138
139,139,28.30800646,-16.71626291,331721,3132518,1557.43,19801,20,5796,2.2,0,19.801,34.49997488773484,1605.061,GRA_139
140,140,28.30638614,-16.70874204,332456,3132328,1588.73,20031,20,5888,2.2,0,20.031,34.74994082806279,1636.426,GRA_140
141,141,28.30780129,-16.70093319,333224,3132474,1602.67,19734,20,6378,2.2,0,19.734,34.462264362884675,1650.396,GRA_141
142,142,28.31028859,-16.69613915,333698,3132743,1583.87,18378,20,6725,2.2,0,18.378,33.1043244769622,1631.59,GRA_142
143,143,28.31107098,-16.67884624,335395,3132806,1537.8,18798,20,6610,2.2,0,18.798,33.5473816879272,1585.594,GRA_143
