Station Name,Latitude,Longitude,Elevation (m),Gravity (μGal),Uncertainty (μGal),Survey Date
MI00,28.47066342,-16.37862302,808.2123,979259488.31,235.09,2024/05/10
MI01,28.4583392,-16.39391355,954.8621,979221088.04,214.0,2024/05/10
MI02,28.46050423,-16.4196125,812.3271,979248710.09,216.88,2024/05/10
MI03,28.44794533,-16.4197583,949.1081,979220139.11,198.19,2024/05/10
MI04,28.43965024,-16.43083415,953.9324,979213263.11,187.27,2024/05/10
MI05,28.45049732,-16.44162601,650.231,979278255.21,206.75,2024/05/10
MI06,28.43874897,-16.45138098,630.052,979282332.79,200.82,2024/05/10
MI07,28.4232184,-16.45561179,735.6161,979261668.42,182.62,2024/05/10
MI09,28.41547763,-16.47643061,655.6547,979276585.36,181.31,2024/05/10
ORO00,28.41082329,-16.54524137,132.3808,979395668.62,244.01,2024/10/13
ORO01,28.41536812,-16.51660529,157.5572,979390001.05,289.06,2024/10/13
ORO02,28.40462226,-16.51408114,275.4016,979364358.99,271.97,2024/10/13
ORO03,28.40294173,-16.50103401,626.6807,979283596.19,230.9,2024/10/13
ORO04,28.37892976,-16.49969958,798.3055,979257983.77,213.18,2024/10/13
ORO05,28.38133508,-16.53259123,463.0432,979328845.53,237.11,2024/10/13
ORO06,28.38841739,-16.54054454,335.4242,979354393.67,242.58,2024/10/13
ORO07,28.40602037,-16.53143233,214.1562,979379976.04,248.77,2024/10/13
ORO08,28.41525923,-16.5286559,127.1123,979397669.8,251.49,2024/10/13
