Linea,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal
Tenerife,942002,28.11777777777778,-16.58888888888889,754.6965,800918,0.05,979234.63
Tenerife,942003,28.124166666666667,-16.589444444444442,795.302,843941,0.05,979227.74
Tenerife,942004,28.126944444444444,-16.595,837.2259,883691,no encontrada,979222.32
Tenerife,942005,28.13,-16.597777777777775,857.9858,904500,no encontrada,979220.33
Tenerife,942007,28.133055555555558,-16.600555555555555,894.352,940926,0.05,979214.46
Tenerife,942008,28.131666666666668,-16.60666666666667,937.1555,983702,0.05,979206.42
Tenerife,942009,28.131666666666668,-16.6125,982.5956,1029310,0.05,979198.87
Tenerife,942010,28.13277777777778,-16.61527777777778,1021.8641,1068596,0.05,979191.1
Tenerife,942011,28.1375,-16.614722222222223,1066.3782,1111391,0.05,979183.3
Tenerife,942012,28.137777777777778,-16.61722222222222,1124.6079,1171430,0.05,979170.71
Tenerife,942014,28.141111111111112,-16.62138888888889,1165.6129,1210,no encontrada,979165.07
Tenerife,942015,28.140833333333333,-16.61888888888889,1205.5867,1251227,0.05,979154.25
Tenerife,942016,28.145555555555553,-16.62472222222222,1257.5939,1305388,0.05,979149.02
Tenerife,942017,28.147777777777776,-16.62777777777778,1289.8332,1336907,0.05,979143.72
Tenerife,942018,28.1525,-16.633888888888887,1335.9445,1383751,0.05,979136.63
Tenerife,942019,28.153055555555554,-16.639444444444443,1376.8301,1424054,0.05,979127.0
Tenerife,943003,28.242222222222225,-16.79638888888889,731.9612,778842,0.05,979261.38
Tenerife,943004,28.238333333333333,-16.790277777777778,780.7143,827628,0.05,979252.04
Tenerife,943005,28.235555555555557,-16.784444444444446,819.9248,866883,0.05,979244.8
Tenerife,943006,28.230277777777776,-16.778055555555554,864.1802,911243,0.05,979238.25
Tenerife,943007,28.228055555555553,-16.77,912.6381,959800,0.05,979231.21
Tenerife,943009,28.224999999999998,-16.760833333333334,977.31,1024512,0.05,979220.36
Tenerife,943010,28.223888888888887,-16.753611111111113,1033.4044,1080804,0.05,979212.01
Tenerife,943011,28.229444444444443,-16.759444444444444,1082.0348,1129359,0.05,979197.27
Tenerife,943012,28.235833333333336,-16.759444444444444,1129.5746,1176958,0.05,979186.48
Tenerife,943013,28.240555555555556,-16.76361111111111,1169.1302,1216332,0.05,979176.22
Tenerife,943015,28.246111111111112,-16.765,1207.827,1255048,0.05,979167.03
